beta,theta,coalition_size,is_convex,violation_rate
0.2,0.86,30,True,0.0
0.2,0.86,33,True,0.0
0.2,0.86,36,True,0.0
0.2,0.86,37,True,0.0
0.2,0.86,40,True,0.0
0.2,0.87,2,True,0.0
0.2,0.87,3,False,0.027777777777777776
0.2,0.87,4,False,0.051470588235294115
0.2,0.87,5,False,0.032196969696969696
0.2,0.87,6,False,0.03317307692307692
0.2,0.87,7,False,0.020954457364341084
0.2,0.87,10,True,0.0
0.2,0.87,12,True,0.0
0.2,0.87,15,False,0.01
0.2,0.87,17,True,0.0
0.2,0.87,20,True,0.0
0.2,0.87,25,True,0.0
0.2,0.87,28,True,0.0
0.2,0.87,30,True,0.0
0.2,0.87,33,True,0.0
0.2,0.87,36,True,0.0
0.2,0.87,37,True,0.0
0.2,0.87,40,True,0.0
0.2,0.88,2,True,0.0
0.2,0.88,3,False,0.027777777777777776
0.2,0.88,4,False,0.051470588235294115
0.2,0.88,5,False,0.030303030303030304
0.2,0.88,6,False,0.03221153846153846
0.2,0.88,7,False,0.019622093023255814
0.2,0.88,10,False,0.01
0.2,0.88,12,False,0.01
0.2,0.88,15,True,0.0
0.2,0.88,17,True,0.0
0.2,0.88,20,True,0.0
0.2,0.88,25,True,0.0
0.2,0.88,28,True,0.0
0.2,0.88,30,True,0.0
0.2,0.88,33,False,0.01
0.2,0.88,36,True,0.0
0.2,0.88,37,True,0.0
0.2,0.88,40,True,0.0
0.2,0.89,2,True,0.0
0.2,0.89,3,False,0.027777777777777776
0.2,0.89,4,False,0.051470588235294115
0.2,0.89,5,False,0.028409090909090908
0.2,0.89,6,False,0.03125
0.2,0.89,7,False,0.018531976744186048
0.2,0.89,10,True,0.0
0.2,0.89,12,True,0.0
0.2,0.89,15,True,0.0
0.2,0.89,17,False,0.01
0.2,0.89,20,True,0.0
0.2,0.89,25,True,0.0
0.2,0.89,28,True,0.0
0.2,0.89,30,True,0.0
0.2,0.89,33,True,0.0
0.2,0.89,36,True,0.0
0.2,0.89,37,True,0.0
0.2,0.89,40,True,0.0
0.2,0.9,2,True,0.0
0.2,0.9,3,False,0.027777777777777776
0.2,0.9,4,False,0.051470588235294115
0.2,0.9,5,False,0.026515151515151516
0.2,0.9,6,False,0.02980769230769231
0.2,0.9,7,False,0.01695736434108527
0.2,0.9,10,False,0.01
