beta,theta,is_convex,violation_rate,convexity_score
0.22,0.72,0.5,0.023695325132426136,0.5
0.22,0.73,0.5,0.022507980231418444,0.5
0.22,0.74,0.6111111111111112,0.020405991726813663,0.6111111111111112
0.22,0.75,0.5555555555555556,0.021215839985789825,0.5555555555555556
0.22,0.76,0.5555555555555556,0.020536641922870833,0.5555555555555556
0.22,0.77,0.6111111111111112,0.01843830502075486,0.6111111111111112
0.22,0.78,0.5,0.01730338283362109,0.5
0.22,0.79,0.5555555555555556,0.016777919117750402,0.5555555555555556
0.22,0.8,0.5,0.016047613678142635,0.5
0.22,0.81,0.6666666666666666,0.013895857972607858,0.6666666666666666
0.22,0.8200000000000001,0.6666666666666666,0.012504346086054934,0.6666666666666666
0.22,0.8300000000000001,0.6666666666666666,0.011809772650800923,0.6666666666666666
0.22,0.84,0.6111111111111112,0.011360001517035262,0.6111111111111112
0.22,0.85,0.6666666666666666,0.010538142497501823,0.6666666666666666
0.22,0.86,0.7222222222222222,0.009070846683420782,0.7222222222222222
0.22,0.87,0.6666666666666666,0.009340325535748473,0.6666666666666666
0.22,0.88,0.6666666666666666,0.00908768734706377,0.6666666666666666
0.22,0.89,0.5555555555555556,0.00984563767623503,0.5555555555555556
0.22,0.9,0.7222222222222222,0.008045009901770046,0.7222222222222222
0.23,0.7,0.4444444444444444,0.026404310727441142,0.4444444444444444
0.23,0.71,0.6666666666666666,0.022147489006956633,0.6666666666666666
0.23,0.72,0.6111111111111112,0.02240204234931777,0.6111111111111112
0.23,0.73,0.4444444444444444,0.024547311754761596,0.4444444444444444
0.23,0.74,0.6666666666666666,0.019567534856380044,0.6666666666666666
0.23,0.75,0.4444444444444444,0.0206483828412978,0.4444444444444444
0.23,0.76,0.7222222222222222,0.017412225426361314,0.7222222222222222
0.23,0.77,0.6111111111111112,0.01787919574071535,0.6111111111111112
0.23,0.78,0.5555555555555556,0.015970832147872732,0.5555555555555556
0.23,0.79,0.6111111111111112,0.016583188944822552,0.6111111111111112
0.23,0.8,0.6666666666666666,0.014025960428291708,0.6666666666666666
0.23,0.81,0.6666666666666666,0.01342730466975223,0.6666666666666666
0.23,0.8200000000000001,0.6666666666666666,0.012401997691555375,0.6666666666666666
0.23,0.8300000000000001,0.5555555555555556,0.013089840020984572,0.5555555555555556
0.23,0.84,0.6666666666666666,0.010497974870124892,0.6666666666666666
0.23,0.85,0.6666666666666666,0.010424161678579144,0.6666666666666666
0.23,0.86,0.6111111111111112,0.010549926389244674,0.6111111111111112
0.23,0.87,0.6666666666666666,0.009846951500223274,0.6666666666666666
0.23,0.88,0.6666666666666666,0.008799577792965845,0.6666666666666666
0.23,0.89,0.6666666666666666,0.008526959315405508,0.6666666666666666
0.23,0.9,0.7222222222222222,0.007580108201403231,0.7222222222222222
0.24000000000000002,0.7,0.6111111111111112,0.022895327785318664,0.6111111111111112
0.24000000000000002,0.71,0.5555555555555556,0.025435482236810324,0.5555555555555556
0.24000000000000002,0.72,0.6111111111111112,0.020830518750177895,0.6111111111111112
